iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
UTK,03N,small_airport,Utirik Airport,Utirik Island,MH-UTI,Utirik,MH,Marshall Islands,11.222219,169.851429,15
OCA,07FA,medium_airport,Ocean Reef Club Airport,Key Largo,US-FL,Florida,US,United States,25.325399,-80.274803,20
NUP,16A,small_airport,Nunapitchuk Airport,Nunapitchuk,US-AK,Alaska,US,United States,60.905591,-162.440454,15
BYW,38WA,small_airport,Blakely Island Airport,Blakely Island,US-WA,Washington,US,United States,48.579162,-122.823844,15
ATT,4A2,small_airport,Atmautluak Airport,Atmautluak,US-AK,Alaska,US,United States,60.866699,-162.272996,15
PDB,4K0,small_airport,Pedro Bay Airport,Pedro Bay,US-AK,Alaska,US,United States,59.796925,-154.129994,15
KOZ,4K5,small_airport,Ouzinkie Airport,Ouzinkie,US-AK,Alaska,US,United States,57.942094,-152.464314,15
TNK,4KA,small_airport,Tununak Airport,Tununak,US-AK,Alaska,US,United States,60.569638,-165.246649,15
MNT,51Z,small_airport,Minto Al Wright Airport,Minto,US-AK,Alaska,US,United States,65.147991,-149.368658,15
WKK,5A8,medium_airport,Aleknagik / New Airport,Aleknagik,US-AK,Alaska,US,United States,59.2826004028,-158.617996216,25
CWS,78WA,small_airport,Center Island Airport,Center Island,US-WA,Washington,US,United States,48.490046,-122.831612,15
TEK,7KA,small_airport,Tatitlek Airport,Tatitlek,US-AK,Alaska,US,United States,60.871449,-146.690297,15
SSW,7WA5,small_airport,Stuart Island Airpark,Friday Harbor,US-WA,Washington,US,United States,48.673379,-123.175439,15
WDN,90WA,small_airport,Waldron Airstrip,Eastsound,US-WA,Washington,US,United States,48.71141,-123.018208,15
CHU,9A3,small_airport,Chuathbaluk Airport,Chuathbaluk,US-AK,Alaska,US,United States,61.579102,-159.216003,15
WTL,A61,small_airport,Tuntutuliak Airport,Tuntutuliak,US-AK,Alaska,US,United States,60.351243,-162.654476,15
TWA,A63,small_airport,Twin Hills Airport,Twin Hills,US-AK,Alaska,US,United States,59.074713,-160.274992,15
KCQ,A79,small_airport,Chignik Lake Airport,Chignik Lake,US-AK,Alaska,US,United States,56.255001,-158.774994,15
BBQ,AG-0001,medium_airport,Burton-Nibbs International Airport,Codrington,AG-10,Barbuda Dependency,AG,Antigua and Barbuda,17.621194,-61.798347,25
AKS,AGGA,small_airport,Gwaunaru'u Airport,Auki,SB-ML,Malaita Province,SB,Solomon Islands,-8.70257,160.682007,15
BNY,AGGB,small_airport,Bellona/Anua Airport,Anua,SB-RB,Rennell and Bellona Province,SB,Solomon Islands,-11.302222222200001,159.798333333,15
CHY,AGGC,small_airport,Choiseul Bay Airport,Choiseul Bay,SB-CH,Choiseul Province,SB,Solomon Islands,-6.711944,156.396111,15
BAS,AGGE,small_airport,Ballalae Airport,Ballalae,SB-WE,Western Province,SB,Solomon Islands,-6.990745,155.886656,15
FRE,AGGF,small_airport,Fera/Maringe Airport,Fera Island,SB-IS,Isabel Province,SB,Solomon Islands,-8.1075,159.576996,15
HIR,AGGH,large_airport,Honiara International Airport,Honiara,SB-GU,Guadalcanal Province,SB,Solomon Islands,-9.428,160.054993,35
IRA,AGGK,small_airport,Ngorangora Airport,Kirakira,SB-MK,Makira-Ulawa Province,SB,Solomon Islands,-10.449700355500001,161.897994995,15
SCZ,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB-TE,Temotu Province,SB,Solomon Islands,-10.7203,165.794998,15
MUA,AGGM,medium_airport,Munda Airport,Munda,SB-WE,Western Province,SB,Solomon Islands,-8.32797,157.263,25
GZO,AGGN,small_airport,Nusatupe Airport,Gizo,SB-WE,Western Province,SB,Solomon Islands,-8.09778022766,156.863998413,15
MNY,AGGO,small_airport,Mono Airport,Stirling Island,SB-WE,Western Province,SB,Solomon Islands,-7.41694,155.565002,15
RNL,AGGR,small_airport,Rennell/Tingoa Airport,Rennell Island,SB-RB,Rennell and Bellona Province,SB,Solomon Islands,-11.55,160.062778,15
NNB,AGGT,small_airport,Santa Ana Airport,Santa Ana Island,SB-MK,Makira-Ulawa Province,SB,Solomon Islands,-10.847994,162.454108,15
RUS,AGGU,small_airport,Marau Airport,Marau,SB-GU,Guadalcanal Province,SB,Solomon Islands,-9.86167,160.824997,15
VAO,AGGV,small_airport,Suavanao Airport,Suavanao,SB-IS,Isabel Province,SB,Solomon Islands,-7.58556,158.731003,15
XYA,AGGY,small_airport,Yandina Airport,Yandina,SB-CE,Central Province,SB,Solomon Islands,-9.092816,159.21841,15
KGE,AGKG,small_airport,Kaghau Airport,Kagau Island,SB-CH,Choiseul Province,SB,Solomon Islands,-7.3305,157.585,15
MHM,AGOB,small_airport,Manaoba Airport,Manaoba,SB-ML,Malaita Province,SB,Solomon Islands,-8.325008,160.80051,15
GTA,AGOK,small_airport,Gatokae Aerodrome,Gatokae,SB-WE,Western Province,SB,Solomon Islands,-8.738358,158.202836,15
RBV,AGRM,small_airport,Ramata Airport,Ramata,SB-WE,Western Province,SB,Solomon Islands,-8.168060302734375,157.64300537109375,15
INU,ANYN,medium_airport,Nauru International Airport,Yaren,NR-14,Yaren,NR,Nauru,-0.547893,166.919525,25
WFR,AT98,medium_airport,[Duplicate] Wolf's Fang Runway,Queen Maud Island,AQ-U-A,(unassigned),AQ,Antarctica,-71.5264,8.799459,20
GYZ,AU-0456,small_airport,Gruyere Airport,Cosmo Newbery,AU-WA,Western Australia,AU,Australia,-28.034548,123.81506,15
AXF,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,Bayanhot,CN-15,Inner Mongolia Autonomous Region,CN,China,38.748317,105.58416,25
VMU,AYBA,medium_airport,Baimuru Airport,Baimuru,PG-GPK,Gulf Province,PG,Papua New Guinea,-7.496955,144.821756,25
BUA,AYBK,medium_airport,Buka Airport,Buka Island,PG-NSB,Autonomous Region of Bougainville,PG,Papua New Guinea,-5.422299,154.672698,25
OPU,AYBM,medium_airport,Balimo Airport,Balimo,PG-WPD,Western Province,PG,Papua New Guinea,-8.05000019073,142.932998657,25
CMU,AYCH,medium_airport,Chimbu Airport,Kundiawa,PG-CPK,Chimbu Province,PG,Papua New Guinea,-6.024290084838867,144.9709930419922,25
DAU,AYDU,medium_airport,Daru Airport,Daru,PG-WPD,Western Province,PG,Papua New Guinea,-9.08676,143.207993,25
BOT,AYET,small_airport,Bosset Airport,Bosset,PG-WPD,Western Province,PG,Papua New Guinea,-7.237257,141.1063222,15
GKA,AYGA,medium_airport,Goroka Airport,Goronka,PG-EHG,Eastern Highlands Province,PG,Papua New Guinea,-6.081689834590001,145.391998291,25
GUR,AYGN,medium_airport,Gurney Airport,Gurney,PG-MBA,Milne Bay Province,PG,Papua New Guinea,-10.3114995956,150.333999634,25
PNP,AYGR,medium_airport,Girua Airport,Popondetta,PG-NPP,Northern Province,PG,Papua New Guinea,-8.80453968048,148.309005737,25
GMI,AYGT,small_airport,Gasmata Island Airport,Gasmata Island,PG-WBK,West New Britain Province,PG,Papua New Guinea,-6.27111005783,150.330993652,15
HKN,AYHK,medium_airport,Hoskins Airport,Kimbe,PG-WBK,West New Britain Province,PG,Papua New Guinea,-5.463846,150.407327,25
KIE,AYIQ,small_airport,Aropa Airport,Kieta,PG-NSB,Autonomous Region of Bougainville,PG,Papua New Guinea,-6.305727,155.728249,15
LSA,AYKA,small_airport,Losuia Airport,Losuia,PG-MBA,Milne Bay Province,PG,Papua New Guinea,-8.505820274353027,151.08099365234375,15
UNG,AYKI,small_airport,Kiunga Airport,Kiunga,PG-WPD,Western Province,PG,Papua New Guinea,-6.1257100105285645,141.28199768066406,15
KRI,AYKK,small_airport,Kikori Airport,Kikori,PG-GPK,Gulf Province,PG,Papua New Guinea,-7.42438,144.250076,15
KMA,AYKM,medium_airport,Kerema Airport,Kerema,PG-GPK,Gulf Province,PG,Papua New Guinea,-7.96361017227,145.770996094,25
KVG,AYKV,medium_airport,Kavieng Airport,Kavieng,PG-NIK,New Ireland Province,PG,Papua New Guinea,-2.57940006256,150.807998657,25
LNV,AYKY,small_airport,Londolovit Airport,Londolovit,PG-NIK,New Ireland Province,PG,Papua New Guinea,-3.04361009598,152.628997803,15
MAG,AYMD,medium_airport,Madang Airport,Madang,PG-MPM,Madang Province,PG,Papua New Guinea,-5.20707988739,145.789001465,25
HGU,AYMH,medium_airport,Mount Hagen Kagamuga Airport,Mount Hagen,PG-WHM,Western Highlands Province,PG,Papua New Guinea,-5.828212,144.299412,25
MDU,AYMN,medium_airport,Mendi Airport,Mendi,PG-SHM,Southern Highlands Province,PG,Papua New Guinea,-6.14774,143.656998,25
MAS,AYMO,medium_airport,Momote Airport,Manus Island,PG-MRL,Manus Province,PG,Papua New Guinea,-2.06189,147.423996,25
MXH,AYMR,small_airport,Moro Airport,Moro,PG-SHM,Southern Highlands Province,PG,Papua New Guinea,-6.36332988739,143.238006592,15
MIS,AYMS,small_airport,Misima Island Airport,Misima Island,PG-MBA,Milne Bay Province,PG,Papua New Guinea,-10.689200401299999,152.837997437,15
LAE,AYNZ,large_airport,Nadzab Tomodachi International Airport,Lae,PG-MPL,Morobe Province,PG,Papua New Guinea,-6.567995,146.726544,35
OBX,AYOB,small_airport,Obo Airport,Obo,PG-WPD,Western Province,PG,Papua New Guinea,-7.590622421369999,141.324262619,15
POM,AYPY,large_airport,Port Moresby Jacksons International Airport,Port Moresby,PG-NCD,National Capital District (Port Moresby),PG,Papua New Guinea,-9.443380355834961,147.22000122070312,35
TDS,AYSS,small_airport,Sasereme Airport,Sasereme,PG-WPD,Western Province,PG,Papua New Guinea,-7.6217,142.868,15
TIZ,AYTA,small_airport,Tari Airport,Tari,PG-HLA,Hela Province,PG,Papua New Guinea,-5.845,142.947998,15
TBG,AYTB,small_airport,Tabubil Airport,Tabubil,PG-WPD,Western Province,PG,Papua New Guinea,-5.280471,141.227576,15
TPI,AYTI,small_airport,Tapini Airport,Tapini,PG-CPM,Central Province,PG,Papua New Guinea,-8.35666666667,146.989166667,15
RAB,AYTK,medium_airport,Tokua Airport,Kokopo,PG-EBR,East New Britain Province,PG,Papua New Guinea,-4.34046,152.380005,25
TFI,AYTU,small_airport,Tufi Airport,Tufi,PG-NPP,Northern Province,PG,Papua New Guinea,-9.07595443726,149.319839478,15
VAI,AYVN,medium_airport,Vanimo Airport,Vanimo,PG-SAN,Sandaun Province,PG,Papua New Guinea,-2.6926,141.3028,25
WBM,AYWD,medium_airport,Wapenamanda Airport,Wapenamanda,PG-EPW,Enga Province,PG,Papua New Guinea,-5.635293,143.892231,25
WWK,AYWK,medium_airport,Wewak International Airport,Wewak,PG-ESW,East Sepik Province,PG,Papua New Guinea,-3.58383011818,143.669006348,25
ZXT,AZ-0001,medium_airport,Zabrat Airport,Zabrat,AZ-BA,Baku (city),AZ,Azerbaijan,40.494884,49.977065,20
BCW,BCW,medium_airport,Benguera Island Airport,Benguera Island,MZ-I,Inhambane Province,MZ,Mozambique,-21.8533,35.438301,20
JAM,BG-JAM,medium_airport,Bezmer Air Base,Bezmer,BG-28,Yambol Province,BG,Bulgaria,42.454899,26.3522,20
JEG,BGAA,medium_airport,Aasiaat Airport,Aasiaat,GL-QK,Qeqertalik Municipality,GL,Greenland,68.721802,-52.784698,25
CNP,BGCO,medium_airport,Neerlerit Inaat Airport,Neerlerit Inaat,GL-SE,Sermersooq Municipality,GL,Greenland,70.743103,-22.650499,25
GOH,BGGH,large_airport,Nuuk International Airport,Nuuk,GL-SE,Sermersooq Municipality,GL,Greenland,64.191066,-51.67914,35
JAV,BGJN,medium_airport,Ilulissat Airport,Ilulissat,GL-AV,Avannaata Municipality,GL,Greenland,69.243202,-51.057098,25
KUS,BGKK,medium_airport,Kulusuk Airport,Kulusuk,GL-SE,Sermersooq Municipality,GL,Greenland,65.573601,-37.1236,25
JSU,BGMQ,small_airport,Maniitsoq Airport,Maniitsoq,GL-QA,Qeqqata Municipality,GL,Greenland,65.412498,-52.9394,15
JFR,BGPT,small_airport,Paamiut Airport,Paamiut,GL-SE,Sermersooq Municipality,GL,Greenland,62.014736,-49.670937,15
NAQ,BGQQ,medium_airport,Qaanaaq Airport,Qaanaaq,GL-AV,Avannaata Municipality,GL,Greenland,77.488602,-69.388702,25
SFJ,BGSF,medium_airport,Kangerlussuaq International Airport,Kangerlussuaq,GL-QA,Qeqqata Municipality,GL,Greenland,67.010446,-50.715294,25
JHS,BGSS,medium_airport,Sisimiut Airport,Sisimiut,GL-QA,Qeqqata Municipality,GL,Greenland,66.951302,-53.729301,25
THU,BGTL,medium_airport,Pituffik Space Base,Pituffik,GL-AV,Avannaata Municipality,GL,Greenland,76.53063,-68.700541,25
JUV,BGUK,small_airport,Upernavik Airport,Upernavik,GL-AV,Avannaata Municipality,GL,Greenland,72.790199,-56.1306,15
JQA,BGUQ,small_airport,Qaarsut Airport,Uummannaq,GL-AV,Avannaata Municipality,GL,Greenland,70.7342,-52.696201,15
AEY,BIAR,large_airport,Akureyri International Airport,Akureyri,IS-6,Northeastern Region,IS,Iceland,65.656573,-18.072018,35
BIU,BIBD,medium_airport,Bildudalur Airport,Bildudalur,IS-4,Westfjords,IS,Iceland,65.641296,-23.5462,20
EGS,BIEG,medium_airport,Egilsstaðir Airport,Egilsstaðir,IS-7,Eastern Region,IS,Iceland,65.2833023071289,-14.401399612426758,25
GRY,BIGR,medium_airport,Grímsey Airport,Grímsey/Sandvík,IS-6,Northeastern Region,IS,Iceland,66.5458,-18.0173,25
HFN,BIHN,medium_airport,Hornafjörður Airport,Höfn,IS-8,Southern Region,IS,Iceland,64.295601,-15.2272,25
HZK,BIHU,medium_airport,Húsavík Airport,Húsavík,IS-6,Northeastern Region,IS,Iceland,65.952301,-17.426001,20
IFJ,BIIS,medium_airport,Ísafjörður Airport,Ísafjörður,IS-4,Westfjords,IS,Iceland,66.058098,-23.1353,25
KEF,BIKF,large_airport,Keflavik International Airport,Reykjavík,IS-2,Southern Peninsula,IS,Iceland,63.985001,-22.6056,35
RKV,BIRK,medium_airport,Reykjavík Domestic Airport,Reykjavík,IS-1,Capital Region,IS,Iceland,64.128732,-21.93759,25
MVA,BIRL,medium_airport,Mývatn Airport,Myvatn,IS-6,Northeastern Region,IS,Iceland,65.6558,-16.9181,20
SIJ,BISI,medium_airport,Siglufjörður Airport,Siglufjörður,IS-6,Northeastern Region,IS,Iceland,66.137847,-18.908157,20
THO,BITN,small_airport,Þórshöfn Airport,Þórshöfn,IS-6,Northeastern Region,IS,Iceland,66.218459,-15.334739,15
VEY,BIVM,medium_airport,Vestmannaeyjar Airport,Vestmannaeyjar,IS-8,Southern Region,IS,Iceland,63.42430114746094,-20.278900146484375,20
VPN,BIVO,medium_airport,Vopnafjörður Airport,Vopnafjörður,IS-7,Eastern Region,IS,Iceland,65.720596,-14.8506,25
PRN,BKPR,large_airport,Priština Adem Jashari International Airport,Prishtina,XK-01,Pristina District,XK,Kosovo,42.5728,21.035801,35
CJZ,BR-0263,small_airport,Pedro Vieira Moreira Airport,Cajazeiras,BR-PB,Paraíba,BR,Brazil,-6.8827,-38.61583,15
VDC,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR-BA,Bahia,BR,Brazil,-14.907885,-40.914804,25
BTZ,BTZ,medium_airport,Betong International Airport,Betong,TH-95,Yala Province,TH,Thailand,5.79,101.15,20
TXC,BY-0001,medium_airport,Orsha Airport - Balbasovo Air Base,Orsha,BY-VI,Vitebsk Region,BY,Belarus,54.439999,30.2967,20
BGK,BZ-BGK,small_airport,Big Creek Airport,Big Creek,BZ-SC,Stann Creek District,BZ,Belize,16.519369,-88.407913,15
CUK,BZ-CUK,medium_airport,Caye Caulker Airport,Caye Caulker,BZ-BZ,Belize District,BZ,Belize,17.735015,-88.032862,25
CYC,BZ-CYC,medium_airport,Caye Chapel Airport,Caye Chapel,BZ-BZ,Belize District,BZ,Belize,17.683792,-88.044985,25
CZH,BZ-CZH,medium_airport,Corozal Airport,Corozal,BZ-CZL,Corozal District,BZ,Belize,18.3822,-88.411903,25
DGA,BZ-DGA,medium_airport,Dangriga Airport,Dangriga,BZ-SC,Stann Creek District,BZ,Belize,16.98251,-88.230988,25
INB,BZ-INB,small_airport,Independence Airport,Independence,BZ-SC,Stann Creek District,BZ,Belize,16.53456,-88.441615,15
ORZ,BZ-ORZ,small_airport,H.E Alfredo Martinez (Tower Hill) Airstrip,Orange Walk,BZ-OW,Orange Walk District,BZ,Belize,18.046767,-88.583858,15
PND,BZ-PND,small_airport,Punta Gorda Airport,Punta Gorda,BZ-TOL,Toledo District,BZ,Belize,16.1024,-88.808296,15
SJX,BZ-SJX,medium_airport,Sartaneja Airport,Sartaneja,BZ-CZL,Corozal District,BZ,Belize,18.3561,-88.130798,20
SPR,BZ-SPR,medium_airport,John Greif II Airport,San Pedro,BZ-CY,Cayo District,BZ,Belize,17.9139,-87.9711,25
TZA,BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,Belize City,BZ-BZ,Belize District,BZ,Belize,17.517239,-88.195775,25
BZB,BZB,medium_airport,Bazaruto Island Airport,Bazaruto Island,MZ-I,Inhambane Province,MZ,Mozambique,-21.5411,35.4729,20
YZZ,CAD4,small_airport,Trail Regional Airport,Trail,CA-BC,British Columbia,CA,Canada,49.055599,-117.609001,15
YAA,CAJ4,medium_airport,Anahim Lake Airport,Anahim Lake,CA-BC,British Columbia,CA,Canada,52.451501,-125.303776,25
XQU,CAT4,medium_airport,Qualicum Beach Airport,Qualicum Beach,CA-BC,British Columbia,CA,Canada,49.337456,-124.393086,25
YMP,CAT5,small_airport,Port McNeill Airport,Port McNeill,CA-BC,British Columbia,CA,Canada,50.57348,-127.027702,15
YZA,CAZ5,medium_airport,Cache Creek-Ashcroft Regional Airport,Cache Creek,CA-BC,British Columbia,CA,Canada,50.775258,-121.321314,20
ZEL,CBBC,medium_airport,Bella Bella (Campbell Island) Airport,Bella Bella,CA-BC,British Columbia,CA,Canada,52.185001,-128.156994,25
YWM,CCA6,small_airport,Williams Harbour Airport,Williams Harbour,CA-NL,Newfoundland and Labrador,CA,Canada,52.567377,-55.784883,15
YSO,CCD4,small_airport,Postville Airport,Postville,CA-NL,Newfoundland and Labrador,CA,Canada,54.9105,-59.78507,15
YBI,CCE4,small_airport,Black Tickle Airport,Black Tickle,CA-NL,Newfoundland and Labrador,CA,Canada,53.469836,-55.787501,15
YHG,CCH4,small_airport,Charlottetown Airport,Charlottetown,CA-NL,Newfoundland and Labrador,CA,Canada,52.765774,-56.11237,15
YFX,CCK4,small_airport,St. Lewis (Fox Harbour) Airport,St. Lewis,CA-NL,Newfoundland and Labrador,CA,Canada,52.372799,-55.673901,15
YHA,CCP4,small_airport,Port Hope Simpson Airport,Port Hope Simpson,CA-NL,Newfoundland and Labrador,CA,Canada,52.528099060058594,-56.28609848022461,15
YRG,CCZ2,small_airport,Rigolet Airport,Rigolet,CA-NL,Newfoundland and Labrador,CA,Canada,54.1796989440918,-58.45750045776367,15
YLE,CEM3,small_airport,Whatì Airport,Whatì,CA-NT,Northwest Territories,CA,Canada,63.131699,-117.246002,15
SUR,CJV7,small_airport,Summer Beaver Airport,Summer Beaver,CA-ON,Ontario,CA,Canada,52.70859909057617,-88.54190063476562,15
CKD,CJX,small_airport,Crooked Creek Airport,Crooked Creek,US-AK,Alaska,US,United States,61.870315,-158.137636,15
YAX,CKB6,small_airport,Wapekeka Airport,Angling Lake,CA-ON,Ontario,CA,Canada,53.84920120239258,-89.57939910888672,15
WNN,CKL3,small_airport,Wunnumin Lake Airport,Wunnumin Lake,CA-ON,Ontario,CA,Canada,52.893902,-89.2892,15
YNO,CKQ3,small_airport,North Spirit Lake Airport,North Spirit Lake,CA-ON,Ontario,CA,Canada,52.4900016784668,-92.97109985351562,15
CKX,CKX,small_airport,Chicken Airport,Chicken,US-AK,Alaska,US,United States,64.066495,-141.951342,15
BZX,CN-0062,medium_airport,Bazhong Enyang Airport,Bazhong,CN-51,Sichuan Province,CN,China,31.73842,106.644872,25
HSC,CN-0079,medium_airport,Shaoguan Danxia Airport,Shaoguan,CN-44,Guangdong Province,CN,China,24.9786,113.420998,25
JGS,CN-0081,medium_airport,Jinggangshan Airport,Ji'an,CN-36,Jiangxi Province,CN,China,26.856899,114.737,25
HNG,CN-0117,medium_airport,Hainanzhou Gonghe Airport,Hainan (Gonghe),CN-63,Qinghai Province,CN,China,36.3367,100.480003,20
JNH,CN-0154,medium_airport,Jiaxing Nanhu Airport,"Xiuzhou, Hangzhou",CN-33,Zhejiang Province,CN,China,30.698056,120.663056,25
WHN,CN-0178,medium_airport,Wuhan Hannan Municipal Airport,Wuhan (Hannan),CN-42,Hubei Province,CN,China,30.25521,114.062805,20
DDR,CN-0236,medium_airport,Shigatse Tingri Airport,Xigazê (Dingri),CN-54,Tibet Autonomous Region,CN,China,28.604567,86.798,25
HQL,CN-0237,medium_airport,Tashikuergan Hongqilafu Airport,Tashikuergan,CN-65,Xinjiang Autonomous Region,CN,China,37.661333,75.288877,25
JDE,CN-0253,medium_airport,Jiande Qiandaohu General Airport,Hangzhou,CN-33,Zhejiang Province,CN,China,29.360905,119.180829,20
APJ,CN-0354,medium_airport,Ali Pulan Airport,Burang Town,CN-54,Tibet Autonomous Region,CN,China,30.397898,81.13317,20
ZFL,CN-0359,small_airport,Zhaosu Tianma Airport,Zhaosu,CN-65,Xinjiang Autonomous Region,CN,China,43.088477,81.223013,15
HJB,CN-0415,small_airport,Hejing Bayinbuluke Airport,Hejing,CN-65,Xinjiang Autonomous Region,CN,China,42.976395,83.995543,15
JBK,CN-0417,small_airport,Qitai Jiangbulake Airport,Qitai,CN-65,Xinjiang Autonomous Region,CN,China,44.166086,89.55014,15
ZAT,CN-0421,medium_airport,Zhaotong Zhaoyang Airport （Not fully opened),Zhaotong,CN-53,Yunnan Province,CN,China,27.205843,103.691511,20
BFY,CN-0476,medium_airport,Bengbu Tenghu Airport,Bengbu,CN-34,Anhui Province,CN,China,33.166292,117.058344,25
XBE,CNE3,small_airport,Bearskin Lake Airport,Bearskin Lake,CA-ON,Ontario,CA,Canada,53.965599060058594,-91.0271987915039,15
YNP,CNH2,small_airport,Natuashish Airport,Natuashish,CA-NL,Newfoundland and Labrador,CA,Canada,55.913898,-61.184399,15
KIF,CNM5,small_airport,Kingfisher Lake Airport,Kingfisher Lake,CA-ON,Ontario,CA,Canada,53.01250076293945,-89.85530090332031,15
LCR,CO-LCR,small_airport,Virgilio Barco Vargas (La Chorrera) Airport,La Chorrera,CO-AMA,Amazonas Department,CO,Colombia,-1.456361,-72.801086,15
KEW,CPV8,small_airport,Keewaywin Airport,Keewaywin,CA-ON,Ontario,CA,Canada,52.9911,-92.836403,15
YKU,CSU2,small_airport,Chisasibi Airport,Chisasibi,CA-QC,Quebec,CA,Canada,53.805599212646484,-78.91690063476562,15
ZTB,CTB6,small_airport,Tête-à-la-Baleine Airport,Tête-à-la-Baleine,CA-QC,Quebec,CA,Canada,50.674400329589844,-59.38359832763672,15
ZKG,CTK6,small_airport,Kégashka Airport,Côte-Nord-du-Golfe-du-Saint-Laurent,CA-QC,Quebec,CA,Canada,50.195801,-61.2658,15
ZGS,CTT5,small_airport,La Romaine Airport,Le Golfe-du-Saint-Laurent,CA-QC,Quebec,CA,Canada,50.259553,-60.674357,15
ZLT,CTU5,small_airport,La Tabatière Airport,La Tabatière,CA-QC,Quebec,CA,Canada,50.8307991027832,-58.97560119628906,15
YAB,CYAB,small_airport,Arctic Bay Airport,Arctic Bay,CA-NU,Nunavut,CA,Canada,73.006101,-85.04616,15
YAC,CYAC,small_airport,Cat Lake Airport,Cat Lake,CA-ON,Ontario,CA,Canada,51.7272,-91.824402,15
YAG,CYAG,medium_airport,Fort Frances Municipal Airport,Fort Frances,CA-ON,Ontario,CA,Canada,48.655749,-93.44349,25
YAH,CYAH,medium_airport,La Grande-4 Airport,La Grande-4,CA-QC,Quebec,CA,Canada,53.754699707,-73.6753005981,20
YAL,CYAL,small_airport,Alert Bay Airport,Alert Bay,CA-BC,British Columbia,CA,Canada,50.582199,-126.916,15
YAM,CYAM,medium_airport,Sault Ste Marie Airport,Sault Ste Marie,CA-ON,Ontario,CA,Canada,46.483216,-84.508467,25
XKS,CYAQ,medium_airport,Kasabonika Airport,Kasabonika,CA-ON,Ontario,CA,Canada,53.52470016479492,-88.6427993774414,25
YKG,CYAS,small_airport,Kangirsuk Airport,Kangirsuk,CA-QC,Quebec,CA,Canada,60.027199,-69.999199,15
YAT,CYAT,small_airport,Attawapiskat Airport,Attawapiskat,CA-ON,Ontario,CA,Canada,52.927502,-82.4319,15
YAY,CYAY,medium_airport,St. Anthony Airport,St. Anthony,CA-NL,Newfoundland and Labrador,CA,Canada,51.391909,-56.08321,25
YAZ,CYAZ,medium_airport,Tofino / Long Beach Airport,Tofino,CA-BC,British Columbia,CA,Canada,49.079833,-125.775583,25
YBB,CYBB,small_airport,Kugaaruk Airport,Kugaaruk,CA-NU,Nunavut,CA,Canada,68.535711,-89.805508,15
YBC,CYBC,medium_airport,Baie-Comeau Airport,Baie-Comeau,CA-QC,Quebec,CA,Canada,49.1325,-68.204399,25
QBC,CYBD,medium_airport,Bella Coola Airport,Bella Coola,CA-BC,British Columbia,CA,Canada,52.387501,-126.596001,25
YBE,CYBE,small_airport,Uranium City Airport,Uranium City,CA-SK,Saskatchewan,CA,Canada,59.561401,-108.481003,15
YBY,CYBF,medium_airport,Bonnyville Airport,Bonnyville,CA-AB,Alberta,CA,Canada,54.304199,-110.744003,25
YBG,CYBG,medium_airport,Saguenay-Bagotville Airport,Saguenay,CA-QC,Quebec,CA,Canada,48.330123,-70.992012,25
YBK,CYBK,medium_airport,Baker Lake Airport,Baker Lake,CA-NU,Nunavut,CA,Canada,64.29889678960001,-96.077796936,25
YBL,CYBL,medium_airport,Campbell River Airport,Campbell River,CA-BC,British Columbia,CA,Canada,49.950802,-125.271004,25
XTL,CYBQ,small_airport,Tadoule Lake Airport,Tadoule Lake,CA-MB,Manitoba,CA,Canada,58.706308,-98.511057,15
YBR,CYBR,medium_airport,Brandon Municipal Airport,Brandon,CA-MB,Manitoba,CA,Canada,49.91,-99.951897,25
YBT,CYBT,small_airport,Brochet Airport,Brochet,CA-MB,Manitoba,CA,Canada,57.8894,-101.679001,15
YBV,CYBV,small_airport,Berens River Airport,Berens River,CA-MB,Manitoba,CA,Canada,52.358898,-97.018303,15
YBX,CYBX,medium_airport,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA-QC,Quebec,CA,Canada,51.4436,-57.185299,25
YRF,CYCA,small_airport,Cartwright Airport,Cartwright,CA-NL,Newfoundland and Labrador,CA,Canada,53.682501,-57.042303,15
YCB,CYCB,medium_airport,Cambridge Bay Airport,Cambridge Bay,CA-NU,Nunavut,CA,Canada,69.1081008911,-105.138000488,25
YCC,CYCC,medium_airport,Cornwall Regional Airport,Cornwall,CA-ON,Ontario,CA,Canada,45.092637,-74.567724,20
YCD,CYCD,medium_airport,Nanaimo Airport,Nanaimo,CA-BC,British Columbia,CA,Canada,49.05497,-123.869863,25
YCE,CYCE,medium_airport,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA-ON,Ontario,CA,Canada,43.285599,-81.508301,20
YCG,CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,Castlegar,CA-BC,British Columbia,CA,Canada,49.296398,-117.632004,25
YCH,CYCH,medium_airport,Miramichi Airport,Miramichi,CA-NB,New Brunswick,CA,Canada,47.007801,-65.449203,20
YCL,CYCL,medium_airport,Charlo Airport,Charlo,CA-NB,New Brunswick,CA,Canada,47.990799,-66.330299,25
YCN,CYCN,medium_airport,Cochrane Airport,Cochrane,CA-ON,Ontario,CA,Canada,49.10559844970703,-81.01360321044922,20
