iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
LGK,WMKL,large_airport,Langkawi International Airport,Langkawi,MY-02,Kedah,MY,Malaysia,6.32973,99.728699,35
MKZ,WMKM,medium_airport,Malacca International Airport,Malacca,MY-04,Melaka,MY,Malaysia,2.265613,102.252778,25
TGG,WMKN,medium_airport,Sultan Mahmud Airport,Kuala Terengganu,MY-11,Terengganu,MY,Malaysia,5.3826398849487305,103.10299682617188,25
PEN,WMKP,large_airport,Penang International Airport,Penang,MY-07,Penang,MY,Malaysia,5.296303,100.276185,35
PKG,WMPA,small_airport,Pulau Pangkor Airport,Pangkor Island,MY-08,Perak,MY,Malaysia,4.244719982147217,100.5530014038086,15
SZB,WMSA,large_airport,Sultan Abdul Aziz Shah International Airport,Subang,MY-10,Selangor,MY,Malaysia,3.13058,101.549004,35
DTR,WN07,small_airport,Decatur Shores Airport,Decatur,US-WA,Washington,US,United States,48.500171,-122.813973,15
SXK,WPAS,small_airport,Mathilda Batlayeri Airport,Saumlaki-Yamdena Island,ID-MA,Maluku,ID,Indonesia,-7.848354,131.337068,15
UAI,WPDB,medium_airport,"Commander in Chief of FALINTIL, Kay Rala Xanana Gusmão, International Airport",Suai,TL-CO,Cova Lima,TL,Timor-Leste,-9.301856,125.286302,25
DIL,WPDL,large_airport,Presidente Nicolau Lobato International Airport,Dili,TL-DI,Dili,TL,Timor-Leste,-8.546562,125.524507,35
BCH,WPEC,medium_airport,Baucau Airport,Baucau,TL-BA,Baucau,TL,Timor-Leste,-8.486479,126.399981,25
OEC,WPOC,large_airport,Oecusse Route of the Sandalwood International Airport,Oecussi-Ambeno,TL-OE,Oecussi,TL,Timor-Leste,-9.198419,124.337873,35
LBW,WRLB,small_airport,Yuvai Semaring Airport,Long Bawan,ID-KU,Kalimantan Utara (North Kalimantan),ID,Indonesia,3.900495,115.690089,15
BXT,WRLC,small_airport,LNG Badak Airport,Bontang-Borneo Island,ID-KI,Kalimantan Timur (East Kalimantan),ID,Indonesia,0.121656,117.476558,15
LPU,WRLP,small_airport,Long Apung Airport,Long Apung-Borneo Island,ID-KU,Kalimantan Utara (North Kalimantan),ID,Indonesia,1.706932,114.969934,15
QPG,WSAP,medium_airport,Paya Lebar Air Base,Paya Lebar,SG-04,South East,SG,Singapore,1.36042,103.910004,20
TGA,WSAT,medium_airport,Tengah Air Base,Western Water Catchment,SG-03,North West,SG,Singapore,1.387561,103.708291,20
XSP,WSSL,medium_airport,Seletar Airport,Seletar,SG-02,North East,SG,Singapore,1.41555,103.86673,25
SIN,WSSS,large_airport,Singapore Changi Airport,Singapore,SG-04,South East,SG,Singapore,1.35019,103.994003,35
ALH,YABA,medium_airport,Albany Airport,Albany,AU-WA,Western Australia,AU,Australia,-34.943333,117.808889,25
ARY,YARA,medium_airport,Ararat Airport,Ararat,AU-VIC,Victoria,AU,Australia,-37.309978,142.988688,20
ARM,YARM,medium_airport,Armidale Airport,Armidale,AU-NSW,New South Wales,AU,Australia,-30.528099060099997,151.617004395,25
AUU,YAUR,small_airport,Aurukun Airport,Aurukun,AU-QLD,Queensland,AU,Australia,-13.354019,141.720028,15
AYQ,YAYE,medium_airport,Ayers Rock Connellan Airport,Yulara,AU-NT,Northern Territory,AU,Australia,-25.185913,130.97703,25
BCI,YBAR,medium_airport,Barcaldine Airport,Barcaldine,AU-QLD,Queensland,AU,Australia,-23.566268,145.302086,25
ASP,YBAS,medium_airport,Alice Springs Airport,Alice Springs,AU-NT,Northern Territory,AU,Australia,-23.806588,133.903427,25
BDD,YBAU,small_airport,Badu Island Airport,Badu Island,AU-QLD,Queensland,AU,Australia,-10.14955,142.173665,15
BNE,YBBN,large_airport,Brisbane International Airport,Brisbane,AU-QLD,Queensland,AU,Australia,-27.384199142456055,153.11700439453125,35
OOL,YBCG,large_airport,Gold Coast Airport,Gold Coast,AU-QLD,Queensland,AU,Australia,-28.165962,153.506641,35
BKQ,YBCK,medium_airport,Blackall Airport,Blackall,AU-QLD,Queensland,AU,Australia,-24.431678,145.429716,25
CNS,YBCS,large_airport,Cairns International Airport,Cairns,AU-QLD,Queensland,AU,Australia,-16.878921,145.74948,35
CTL,YBCV,medium_airport,Charleville Airport,Charleville,AU-QLD,Queensland,AU,Australia,-26.4132995605,146.261993408,25
BXG,YBDG,small_airport,Bendigo Airport,,AU-VIC,Victoria,AU,Australia,-36.739399,144.330002,15
BVI,YBDV,medium_airport,Birdsville Airport,,AU-QLD,Queensland,AU,Australia,-25.897499084472656,139.34800720214844,25
BHQ,YBHI,medium_airport,Broken Hill Airport,Broken Hill,AU-NSW,New South Wales,AU,Australia,-32.0013999939,141.472000122,25
HTI,YBHM,medium_airport,Hamilton Island Airport,Hamilton Island,AU-QLD,Queensland,AU,Australia,-20.3581008911,148.95199585,25
BEU,YBIE,medium_airport,Bedourie Airport,Bedourie,AU-QLD,Queensland,AU,Australia,-24.3461,139.460007,25
BRK,YBKE,medium_airport,Bourke Airport,,AU-NSW,New South Wales,AU,Australia,-30.039199829101562,145.95199584960938,25
BUC,YBKT,small_airport,Burketown Airport,,AU-QLD,Queensland,AU,Australia,-17.748600006103516,139.53399658203125,15
BLN,YBLA,medium_airport,Benalla Airport,Benalla,AU-VIC,Victoria,AU,Australia,-36.551899,146.007004,20
BQB,YBLN,small_airport,Busselton Margaret River Regional Airport,Busselton,AU-WA,Western Australia,AU,Australia,-33.687222,115.400278,15
ISA,YBMA,medium_airport,Mount Isa Airport,Mount Isa,AU-QLD,Queensland,AU,Australia,-20.66638,139.488468,25
MKY,YBMK,medium_airport,Mackay Airport,Mackay,AU-QLD,Queensland,AU,Australia,-21.170816,149.182588,25
BNK,YBNA,medium_airport,Ballina Byron Gateway Airport,Ballina,AU-NSW,New South Wales,AU,Australia,-28.833236,153.561471,25
BSJ,YBNS,medium_airport,Bairnsdale Airport,Bairnsdale,AU-VIC,Victoria,AU,Australia,-37.887539,147.569379,20
GIC,YBOI,small_airport,Boigu Island Airport,Boigu Island,AU-QLD,Queensland,AU,Australia,-9.23278,142.218002,15
OKY,YBOK,medium_airport,Oakey Army Aviation Centre,,AU-QLD,Queensland,AU,Australia,-27.409262,151.736727,25
BQL,YBOU,medium_airport,Boulia Airport,,AU-QLD,Queensland,AU,Australia,-22.913299560546875,139.89999389648438,25
PPP,YBPN,medium_airport,Proserpine Whitsunday Coast Airport,Proserpine,AU-QLD,Queensland,AU,Australia,-20.494416,148.553583,25
ROK,YBRK,medium_airport,Rockhampton Airport,Rockhampton,AU-QLD,Queensland,AU,Australia,-23.380019,150.475359,25
BME,YBRM,large_airport,Broome International Airport,Broome,AU-WA,Western Australia,AU,Australia,-17.949194,122.2283,35
BZD,YBRN,medium_airport,Balranald Airport,,AU-NSW,New South Wales,AU,Australia,-34.624834,143.577114,20
BWQ,YBRW,medium_airport,Brewarrina Airport,,AU-NSW,New South Wales,AU,Australia,-29.975792,146.81438,20
MCY,YBSU,large_airport,Sunshine Coast Airport,Maroochydore,AU-QLD,Queensland,AU,Australia,-26.593324,153.08319,35
BHS,YBTH,medium_airport,Bathurst Airport,Bathurst,AU-NSW,New South Wales,AU,Australia,-33.406817,149.651161,25
BRT,YBTI,medium_airport,Bathurst Island Airport,Wurrumiyanga,AU-NT,Northern Territory,AU,Australia,-11.764966,130.615774,20
TSV,YBTL,medium_airport,Townsville Airport / RAAF Base Townsville,Townsville,AU-QLD,Queensland,AU,Australia,-19.252904,146.766512,25
BLT,YBTR,medium_airport,Blackwater Airport,,AU-QLD,Queensland,AU,Australia,-23.6031,148.807007,20
BDB,YBUD,medium_airport,Bundaberg Airport,Bundaberg,AU-QLD,Queensland,AU,Australia,-24.905039,152.322612,25
WEI,YBWP,medium_airport,Weipa Airport,Weipa,AU-QLD,Queensland,AU,Australia,-12.677493,141.922618,25
WTB,YBWW,large_airport,Toowoomba Wellcamp Airport,Toowoomba,AU-QLD,Queensland,AU,Australia,-27.558332,151.793335,35
CVQ,YCAR,medium_airport,Carnarvon Airport,Carnarvon,AU-WA,Western Australia,AU,Australia,-24.884337,113.666393,25
CAZ,YCBA,medium_airport,Cobar Airport,,AU-NSW,New South Wales,AU,Australia,-31.538299560546875,145.79400634765625,25
COJ,YCBB,medium_airport,Coonabarabran Airport,,AU-NSW,New South Wales,AU,Australia,-31.3325,149.266998,20
CPD,YCBP,medium_airport,Coober Pedy Airport,Coober Pedy,AU-SA,South Australia,AU,Australia,-29.038312,134.722166,25
CCL,YCCA,medium_airport,Chinchilla Airport,Chinchilla,AU-QLD,Queensland,AU,Australia,-26.771947,150.617571,20
CNC,YCCT,small_airport,Coconut Island Airport,,AU-QLD,Queensland,AU,Australia,-10.050139,143.070007,15
CNJ,YCCY,medium_airport,Cloncurry Airport,Cloncurry,AU-QLD,Queensland,AU,Australia,-20.668600082399998,140.503997803,25
CED,YCDU,medium_airport,Ceduna Airport,,AU-SA,South Australia,AU,Australia,-32.13059997558594,133.7100067138672,25
CVC,YCEE,medium_airport,Cleve Airport,,AU-SA,South Australia,AU,Australia,-33.709702,136.505005,20
CFS,YCFS,medium_airport,Coffs Harbour Airport,Coffs Harbour,AU-NSW,New South Wales,AU,Australia,-30.320601,153.115997,25
CKW,YCHK,small_airport,Christmas Creek Airport,Christmas Creek Mine,AU-WA,Western Australia,AU,Australia,-22.354302,119.642603,15
DCN,YCIN,medium_airport,RAAF Base Curtin,Derby,AU-WA,Western Australia,AU,Australia,-17.581389,123.828333,20
CTN,YCKN,medium_airport,Cooktown Airport,,AU-QLD,Queensland,AU,Australia,-15.443649,145.183221,25
CMQ,YCMT,medium_airport,Clermont Airport,,AU-QLD,Queensland,AU,Australia,-22.7731,147.621002,20
CMA,YCMU,medium_airport,Cunnamulla Airport,,AU-QLD,Queensland,AU,Australia,-28.030000686645508,145.6219940185547,25
CNB,YCNM,medium_airport,Coonamble Airport,,AU-NSW,New South Wales,AU,Australia,-30.980946,148.377833,25
CUQ,YCOE,medium_airport,Coen Airport,Coen,AU-QLD,Queensland,AU,Australia,-13.761133,143.113311,25
OOM,YCOM,medium_airport,Cooma Snowy Mountains Airport,Cooma,AU-NSW,New South Wales,AU,Australia,-36.300445,148.972408,25
CWW,YCOR,medium_airport,Corowa Airport,,AU-NSW,New South Wales,AU,Australia,-35.994701,146.356995,20
CYG,YCRG,medium_airport,Corryong Airport,,AU-VIC,Victoria,AU,Australia,-36.18280029296875,147.88800048828125,20
CMD,YCTM,medium_airport,Cootamundra Airport,,AU-NSW,New South Wales,AU,Australia,-34.624283,148.036641,20
CWT,YCWR,medium_airport,Cowra Airport,,AU-NSW,New South Wales,AU,Australia,-33.846894,148.648007,20
DRN,YDBI,medium_airport,Dirranbandi Airport,,AU-QLD,Queensland,AU,Australia,-28.587912,148.217161,20
DRB,YDBY,medium_airport,Derby Airport,Derby,AU-WA,Western Australia,AU,Australia,-17.37193,123.66221,20
DNQ,YDLQ,medium_airport,Deniliquin Airport,Deniliquin,AU-NSW,New South Wales,AU,Australia,-35.5593986511,144.945999146,20
DMD,YDMG,small_airport,Doomadgee Airport,,AU-QLD,Queensland,AU,Australia,-17.9403,138.822006,15
NLF,YDNI,small_airport,Darnley Island Airport,Darnley Island,AU-QLD,Queensland,AU,Australia,-9.579176,143.780276,15
DPO,YDPO,medium_airport,Devonport Airport,Devonport,AU-TAS,Tasmania,AU,Australia,-41.1697006226,146.429992676,25
DYA,YDYS,medium_airport,Dysart Airport,,AU-QLD,Queensland,AU,Australia,-22.6222,148.363998,20
ECH,YECH,medium_airport,Echuca Airport,,AU-VIC,Victoria,AU,Australia,-36.15719985961914,144.76199340820312,20
